,0,1
0,The Chesterfield Mayfair,Fantastic hotel and staff who were extremely friendly and helpful. The location of the hotel was perfect and I would recommended this hotel to anyone. We have stayed at numerous top London hotels but the service and the quality at the Mayfair matched these.
1,The Chesterfield Mayfair,"My Girlfriend and I went to The Chesterfield Mayfair in May 2023 to have the Gin tasting experience. It was presented by two lovely members of the team Alexandro and Viviana. I learned so much about the origin of Gin and how different types are made, what spices are used, also learned about the best tonic match to certain type of gins. They made it so interesting and engaging, furthermore any questions were asked by us they responded in a really friendly way with excitement to pass on the knowledge they had. If anyone is interested in learning about from the process of gin making to tasting it I highly recommend doing this experience! Big thank you to the guys! Gabor Koncz"
2,The Chesterfield Mayfair,"The Chesterfield has an excellent location, close to many attractions. Food and service were excellent, In particular we want to mention concierge Jake who was proactively helpful on several occasions. Overall, this place is a gem. Andy M"
3,The Chesterfield Mayfair,"Viviane is AMAZING! She is so kind and welcoming. You can tell she truly loves her job. We are so glad that she was able to serve us. Viviane is very kind and friendly, the perfect person to serve you! We can’t wait to come back!"
4,The Chesterfield Mayfair,"This hotel is just the best! Everyone is very nice and helpful. From a bottle of water to a ride to the Beyoncé concert, we felt taken care of. We were so impressed with the kindness, helpfulness, comforts, and safety that we felt at The Chesterfield Mayfair. I wish that I could call out individuals who helped us, but truly everyone was wonderful!❤️"
5,The Chesterfield Mayfair,The Chesterfield is a classic and cosy hotel in an excellent quiet location. We love the bar. We got back from a concert at the O2 after 11pm and the bar welcomed us and offered food. Staff are welcoming and friendly. This is regular hotel for nights out in London.
6,The Chesterfield Mayfair,"My husband and I stayed at the Chesterfield for our 2 year anniversary in May 2023. We have been to the Chesterfield a few times before, and have always been delighted by the service we've experienced. It therefore made sense to go and stay again for a special occasion. Where better that a hotel that actively describes itself as ""Your House?"" A perfect home away from home in the heart of London. I'll be candid, we've been visiting the Chesterfield for the last two years on and off, whether to stay for the odd special occasion, or to go for drinks on a Saturday when we used to live a little closer, and we are familiar with the smiling faces of the team who work there. There have been a few changes recently, some which a lot of establishments would struggle with: the Bar Manager…"
7,The Chesterfield Mayfair,"This about the 7th time I have stayed at the Chesterfield, in Mayfair. . Not only in a great location (Green Park tu be stop) but the best staff ever! Particularly Darren, one of the concierges. He got the cars arranged for the theaters we went to, etc. They have really old school service-when it goes wrong, they fix it. I had a massive nose bleed and all they cared about was that I got a new pillow when I was worried about the linens! They wanted to send a doc to me, but I knew I'd be fine, so declined. There are many eating options near by. All the meals in the hotel are good, but pricey. Room service is sky high! There is an M &S simply food at the tube stop. Good selection! This is NOT an inexpensive hotel! You need to work the 4 for 3 deal, 4 nights for the price…"
8,The Chesterfield Mayfair,Super hotel - great staff. Came to experience high quality luxury hotel service -- The Chesterfield really delivered. all the staff were super with that fabulous blend of both high professionalism and personal friendly touch. Reception and front desk reception team - great. Restaurant and bar staff -- excellent too. (food absolutely perfect at every meal) F & B team very attentive and first class
9,The Chesterfield Mayfair,"There are a ton of hotels in London but the Chesterfield is a nice small and quaint hotel that provides the British field and is close to the tube, park, and Buckingham Palace. My adult daughter and I just stayed and enjoyed the entire staff, did the afternoon tea, and dinner. Ate late night in the bar as well. Everything was spot on and we could not have asked for better."
10,The Chesterfield Mayfair,"With so many choices in London this turned out to be great choice. Has charm of an English hotel and smaller than top chains in same area. Was excellent central location, clean rooms, great ambience, friendly and helpful staff. Enjoy the tea room or live music in lounge in the evening. Plenty of different plug types in room which is convenient. Made us feel very special for our 35 year anniversary. Wow, nice touch, thanks. Only small ask is to make it easier to plug phone in to charge at night next to bed. But could get to behind nightstand so really an issue. Thanks!"
11,The Chesterfield Mayfair,The Gin & Tonic experience that we have done at the Chesterfield Mayfair Bar was incredible! Viviana explained everything super clean and we learnt so much from her. Alexandro and Marilene have been super nice as well. Such a memorable moment there! Many thanks for your professional customer service.
12,The Chesterfield Mayfair,"I’ve stayed at the Chesterfield Mayfair 6 or 7 times now and I keep returning because of the location, great atmosphere and decor, friendly service, and excellent breakfast. I was there for one week, checking out just a couple days before the coronation. Thought most room types were sold out, the lobby and other areas of the hotel were never crowded (besides breakfast, where there was sometimes a 15-20 minute wait). I normally stay in a Classic Double, but reserved a Classic Single (Room 714) because other rooms options were unavailable at the time of booking. Though well designed and with a nice view facing the front of the hotel, there was very little space. I was unable to store my suitcases away, and there were no drawers or any space for storage besides a tiny closet. The…"
13,The Chesterfield Mayfair,"The Chesterfield Mayfair is a beautiful older hotel. Our room was on the second floor. During our stay the hotel’s hairdryer would trip a breaker rendering the hairdryer useless. The front desk swapped out our hairdryer for another. It worked for a few minutes and then out it went. Unfortunately it happened 30 minutes before we were to attend our niece’s wedding. My wife worked on her hair whilst it air dried. The front desk person said they’d bring another hairdryer. It never arrived. The next day I told them we still had the problem and gave me a third hairdryer. And, they said a maintenance person would come to discuss the situation. Our discussion revealed that the second floor of the hotel had very old electrical and that was the root of the problem. Other international…"
14,The Chesterfield Mayfair,"We went to the hotel for the Gin&tonic experience. It was really amazing, we know now how was the process in the past and how many types of gin we can have around the world, Alejandro prepared for us amazing drinks, and explain us everything for more than 1hour and half, the hotel, installation and the workers was really awesome, very nice and British vibe. We want to back again next month for another one experience. Thanks Namrata and Glenda too for your attention. good bless"
15,The Chesterfield Mayfair,"We were instant family when we stepped into the foyer of the Chesterfield. However, it was Mustafa with his friendly welcome and care that brightened our day as we stepped from our taxi. Into the reception we sailed where Ellen and Heather were wonderfully efficient and affable. Giorgi kindly whisked our luggage to our room — we were delighted with the ambience and the comely decor. Every little item of comfort was enjoyed from our extensive tea/coffee service to our bathroom robes and nightly turn down with chocolates. The Chesterfield ensured our comfort and made our stay in London effortless. A delightful experience! An excellent culture!"
16,The Chesterfield Mayfair,"Chesterfield Mayfair was terrific! 1st class hospitality. All staff were very friendly and helpful. It’s hard to single any one staff member out- check in counter and concierge were particularly helpful. The location was great as well. Very close to pubs and restaurants. Within walking distance to Buckingham Palace, Churchill War Museum, Westminster Abbey, etc."
17,The Chesterfield Mayfair,"Absolutely amazing stay. The service was impeccable and I plan to be back. Jozef in the lobby is so friendly and helpful. Rafal (and another lady I forget her name) in the Butler Restaurant treated us like royalty for dinner (dinner was also delicious!) The housekeepers were also very helpful and kind, eagerly asking us if we needed anything. One of the days we had to leave early for a day long tour. Since we needed to leave before breakfast service started, we asked if we could get anything beforehand. The concierge was very helpful, and had two boxes of pastries and fruits ready for us that morning. After coming back that day (12+ hours later), we came back to the room exhausted but delighted to see turn down service and my weighted blanket (I am a very picky sleeper so I…"
18,The Chesterfield Mayfair,"My daughter and I spent two days at this hotel at the end of our 2 week stay in the UK. The hotel is very elegant and the staff is so friendly and very helpful. They go out of their way to be of service and treat you like you belong at the hotel, not like other hotels on this scale that would at you like you don't belong. The front staff the concierge desk and the doormen were so friendly and very accommodating when helping us navigate the city. The bar staff were also friendly and spent time talking with you, if they weren't busy. This is a very quaint hotel that reminds me of the old Waldorf Astoria in NYC. I would definitely stay there again."
19,The Chesterfield Mayfair,An excellent property & the staff are top notch. Everyone is welcoming and helpful with a wealth of knowledge about the city. Rooms are well appointed with all the amenities and very clean. Location is great too. A special thanks to Saffron at the front desk and Josef & the concierge/bell staff!
